id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
16559,Ba1.8Cu3Dy1Sr0.2O6.89,84.20 ,1993,10.1016/0921-4534(93)91023-O,16559,orthorhombic,Pmm2,690.98,6.99,7.64,7.77,11.65,90,90,90
16560,Ba1.8Cu3Eu1.2O7.18,42.00 ,1988,10.1103/PhysRevB.38.2450,16520,tetragonal,P4/mmm,173.68,7.02,3.87,3.87,11.63,90,90,90
16561,Ba1.8Cu3Eu1Pr0.2O6.69,46.00 ,2001,10.1016/S0921-4534(00)01779-2,16561,tetragonal,P4mm,710.86,6.69,7.76,7.76,11.81,90,90,90
16562,Ba1.8Cu3Gd1.2O7.03,42.00 ,2003,10.1103/PhysRevB.68.10050,16532,orthorhombic,Pmm2,701.66,6.97,7.68,7.81,11.7,90,90,90
16563,Ba1.8Cu3Gd1Pr0.2O7.01,44.50 ,2003,10.1103/PhysRevB.68.104516,16548,tetragonal,P4/mmm,177.02,6.75,3.87,3.87,11.81,90,90,90
16564,Ba1.8Cu3Nd1.2O7.1,43.50 ,1988,10.1103/PhysRevB.38.2450,16535,orthorhombic,Pmm2,733.65,6.55,7.79,7.92,11.9,90,90,90
16565,Ba1.8Cu3Nd1Sr0.2O6.927,82.00 ,1996,10.1016/0921-4534(96)00155-4,16565,orthorhombic,Pmm2,733.65,6.42,7.79,7.92,11.9,90,90,90
16566,Ba1.8Cu3Nd1Sr0.2O6.96,91.10 ,2006,10.1016/j.physc.2005.12.063,16565,orthorhombic,Pmm2,733.65,6.42,7.79,7.92,11.9,90,90,90
16567,Ba1.8Cu3Pr0.2Sm1O7.04,26.50 ,2000,10.1103/PhysRevB.61.12404,16567,orthorhombic,Pmm2,702.41,6.88,7.69,7.8,11.7,90,90,90
16568,Ba1.8Cu3Pr0.4Sr0.2Y0.6O6.85,47.00 ,1995,10.1103/PhysRevB.51.16444,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16569,Ba1.8Cu4La0.2Y1O7.9,60.10 ,1990,10.1103/PhysRevB.42.8030,16545,orthorhombic,Pmm2,809.98,6.12,3.84,3.87,54.46,90,90,90
16570,Ba1.92Cu3Nd1.08O6.17,77.50 ,1999,,16564,tetragonal,P4/mmm,179.29,6.55,3.89,3.89,11.83,90,90,90
16571,Ba1.95Co0.05Cu2.95Y1O7,90.00 ,,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16572,Ba1.95Cu3Gd1.05O6.94,85.00 ,2003,10.1103/PhysRevB.68.104516,15810,orthorhombic,Pmmm,179.86,6.78,3.87,3.93,11.84,90,90,90
16573,Ba1.95Cu3Gd1Pr0.05O7.03,86.80 ,2003,10.1103/PhysRevB.68.10050,15810,orthorhombic,Pmmm,179.86,6.78,3.87,3.93,11.84,90,90,90
16574,Ba1.96Cu3La0.04Y1O6.96,93.60 ,1993,10.1103/PhysRevB.47.8385,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16575,Ba1.96Cu3Sr0.04Y1O6.98,91.80 ,1998,10.1103/PhysRevB.58.15208,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16576,Ba1.96Cu3Y1.04O6.8,90.60 ,1987,10.1016/0038-1098(87)90644-2,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16577,Ba1.972Ca0.028Cu4Y1O8,79.70 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
16578,Ba1.9Cu3Eu1.1O7.07,81.00 ,1988,10.1103/PhysRevB.38.2450,15799,orthorhombic,Pmmm,179.29,6.75,3.85,3.95,11.78,90,90,90
16579,Ba1.9Cu3Eu1Pr0.1O6.75,73.00 ,2001,10.1016/S0921-4534(00)01779-2,11941,orthorhombic,Fmmm,370.67,6.46,12.7,12.68,5.54,77.61,77.16,25.23
16580,Ba1.9Cu3Gd1Pr0.1O7.03,63.30 ,2003,10.1103/PhysRevB.68.104516,15810,orthorhombic,Pmmm,179.86,6.78,3.87,3.93,11.84,90,90,90
16581,Ba1.9Cu3K0.1Y1O6.61,92.70 ,1994,10.1143/JJAP.33.L219,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16582,Ba1.9Cu3Nd1.1O6.9,92.00 ,1990,10.1016/0921-4534(90)90171-A,15811,orthorhombic,Pmmm,183.41,6.53,3.89,3.96,11.9,90,90,90
16583,Ba1.9Cu3Nd1.1O6.96,87.60 ,1997,10.1557/JMR.1997.0385,15811,orthorhombic,Pmmm,183.41,6.53,3.89,3.96,11.9,90,90,90
16584,Ba1.9Cu3Nd1.1O7.05,65.50 ,1988,10.1103/PhysRevB.38.2450,15811,orthorhombic,Pmmm,183.41,6.53,3.89,3.96,11.9,90,90,90
16585,Ba1.9Cu4La0.1Y1O7.8,67.80 ,1990,10.1103/PhysRevB.42.8030,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
16586,Ba1Ca0.1Cu3Nd0.9Sr1O6.85,71.00 ,1996,10.1016/0921-4534(95)00634-6,16586,monoclinic,P1m1,697.28,6.4,7.74,7.74,11.65,90,90,90
16587,Ba1Ca0.2Cu3Nd0.8Sr1O6.78,77.00 ,1996,10.1016/0921-4534(95)00634-6,16447,monoclinic,P1m1,697.28,6.52,7.74,7.74,11.65,90,90,90
16588,Ba1Ca1Cu2Tl1O5.5,114.00 ,1988,10.1016/0921-4534(95)00634-6,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16589,Ba1Ca1Cu3La1O6.85,76.00 ,1993,10.1016/0921-4534(93)90651-6,16445,orthorhombic,Pmmm,356.19,5.7,3.91,3.89,23.43,90,90,90
16590,Ba1Ca1Cu3La1O6.856,66.00 ,1991,10.1016/0921-4534(91)90543-8,16445,orthorhombic,Pmmm,356.19,5.7,3.91,3.89,23.43,90,90,90
16591,Ba1Cu1Hg0.76Tl0.76O4.5,87.50 ,1990,10.1063/1.347020,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16592,Ba1Cu3La1Sr1O6.94,57.00 ,1992,10.1016/0921-4534(92)90316-5,16592,orthorhombic,Pmm2,706.16,6.19,3.89,3.89,46.76,90,90,90
16593,Ba1Cu3La1Sr1O7.01,41.50 ,1989,10.1016/0921-4534(89)90146-9,16592,orthorhombic,Pmm2,706.16,6.19,3.89,3.89,46.76,90,90,90
16594,Ba1Cu3Nd1Sr1O6.92,64.00 ,1996,10.1016/0921-4534(95)00634-6,16586,monoclinic,P1m1,697.28,6.4,7.74,7.74,11.65,90,90,90
16595,Ba1Cu3Pr0.2Sr1Y0.8O6.9,79.40 ,1994,10.1016/0375-9601(94)91237-8,16425,orthorhombic,Pmm2,681.15,5.81,3.83,3.83,46.41,90,90,90
16596,Ba1Cu3Pr0.4Sr1Y0.6O6.89,53.00 ,1995,10.1103/PhysRevB.51.16444,16596,orthorhombic,Pmm2,686.31,6.22,3.85,3.85,46.3,90,90,90
16597,Ba1Cu3Pr0.4Sr1Y0.6O6.9,60.50 ,1994,10.1016/0375-9601(94)91237-8,16596,orthorhombic,Pmm2,686.31,6.22,3.85,3.85,46.3,90,90,90
16598,Ba1Cu3Pr0.5Sr1Y0.5O6.9,36.00 ,1994,10.1016/0375-9601(94)91237-8,16596,orthorhombic,Pmm2,686.31,6.22,3.85,3.85,46.3,90,90,90
16599,Ba1Cu3Pr0.65Sr1Y0.35O6.9,20.30 ,1994,10.1016/0375-9601(94)91237-8,16602,orthorhombic,Pmm2,522.65,6.21,3.87,3.87,34.87,90,90,90
16600,Ba1Cu3Pr0.6Sr1Y0.4O6.92,18.00 ,1974,10.1088/0022-3719/7/15/006,16596,orthorhombic,Pmm2,686.31,6.22,3.85,3.85,46.3,90,90,90
16601,Ba1Cu3Pr0.6Sr1Y0.4O7,23.00 ,2004,10.1016/j.physc.2004.10.003,16596,orthorhombic,Pmm2,686.31,6.22,3.85,3.85,46.3,90,90,90
16602,Ba1Cu3Pr0.7Sr1Y0.3O6.95,14.00 ,1994,10.1016/0375-9601(94)91237-8,16602,orthorhombic,Pmm2,522.65,6.21,3.87,3.87,34.87,90,90,90
16603,Ba1Cu3Sm1Sr1O6.94,80.00 ,1992,,16603,orthorhombic,Pmmm,346.97,6.41,3.86,3.86,23.23,90,90,90
16604,Ba1Cu3Sr1Y1O6.685,34.00 ,1998,10.1103/PhysRevB.58.15208,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16605,Ba1Cu3Sr1Y1O6.83,58.50 ,1998,10.1103/PhysRevB.58.15208,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16606,Ba1Cu3Sr1Y1O6.88,75.60 ,1998,10.1103/PhysRevB.58.15208,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16607,Ba1Cu3Sr1Y1O6.899,80.20 ,1995,10.1016/0921-4534(95)00483-1,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16608,Ba1Cu3Sr1Y1O6.9,92.00 ,1994,10.1016/0375-9601(94)91237-8,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16609,Ba1Cu3Sr1Y1O6.91,81.00 ,1995,10.1016/0375-9601(95)00769-Y,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16610,Ba1Cu3Sr1Y1O6.93,80.80 ,1998,10.1103/PhysRevB.58.15208,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16611,Ba1Cu3Sr1Y1O6.94,79.00 ,1992,10.1016/0921-4534(92)90316-5,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16612,Ba1Cu3Sr1Y1O6.947,83.30 ,1989,10.1016/0921-4534(89)90146-9,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16613,Ba1Cu3Sr1Y1O6.96,83.50 ,1998,10.1103/PhysRevB.58.15208,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16614,Ba1Cu3Sr1Y1O6.98,83.60 ,1998,10.1103/PhysRevB.58.15208,16595,orthorhombic,Pmm2,681.15,5.93,3.83,3.83,46.41,90,90,90
16615,Ba1Pt2Sb2,1.84 ,2015,10.1103/PhysRevB.91.014513,16615,monoclinic,C12/m1,473.88,10.81,6.7,6.75,10.47,90,91.23,90
16616,Ba2.01Cr0.194Cu2.806Y1O7.3,62.00 ,1988,10.1016/0038-1098(88)90343-2,16616,orthorhombic,Pmm2,695.33,6.34,7.65,7.78,11.68,90,90,90
16617,Ba2.5Ca1Cu6La2.5O14.146,79.00 ,1996,10.1016/0921-4534(96)00009-3,16433,orthorhombic,Pmm2,718.14,6.18,3.9,3.9,47.22,90,90,90
16618,Ba2.7Ca0.6Cu6La2.7O14.186,74.00 ,1996,10.1016/0921-4534(96)00009-3,16459,tetragonal,P4/mmm,175.64,6.49,3.88,3.88,11.65,90,90,90
16619,Ba2Bi0.2Cu1Hg0.8O4.2,85.00 ,1995,10.1016/0921-4534(94)02365-4,16619,tetragonal,P4/mmm,142.9,7.08,3.88,3.88,9.49,90,90,90
16620,Ba2Ca0.015Cu3Y0.985O6.98,89.90 ,1993,10.1103/PhysRevB.47.8385,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16621,Ba2Ca0.025Cu3Y0.975O6.72,70.80 ,1988,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16622,Ba2Ca0.025Cu3Y0.975O6.95,91.50 ,1988,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16623,Ba2Ca0.03Cu3Y0.97O6.97,86.70 ,1993,10.1103/PhysRevB.47.8385,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16624,Ba2Ca0.05Co0.05Cu2.95Y0.95O6.75,64.00 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16625,Ba2Ca0.05Co0.05Cu2.95Y0.95O6.84,72.50 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16626,Ba2Ca0.05Co0.05Cu2.95Y0.95O6.96,88.00 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16627,Ba2Ca0.05Co0.15Cu2.85Y0.95O6.82,83.00 ,1992,10.1016/0921-4534(92)90320-C,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16628,Ba2Ca0.05Co0.25Cu2.75Y0.95O7.06,75.10 ,1995,,16530,triclinic,P1,706,6.08,7.76,7.76,11.73,90,90,90
16629,Ba2Ca0.05Cu2.8Y0.95Zn0.2O6.74,3.50 ,2011,10.1016/j.physc.2011.02.011,16629,monoclinic,P1m1,695.85,6.33,7.65,7.78,11.69,90,90,90
16630,Ba2Ca0.05Cu3Er0.95O6.935,86.00 ,1993,10.1016/0038-1098(93)90065-U,11930,orthorhombic,Pmmm,177.81,6.95,3.83,3.93,11.79,90,90,90
16631,Ba2Ca0.05Cu3Nd0.9Pr0.05O6.95,81.40 ,1996,10.1016/0921-4534(96)00456-X,15811,orthorhombic,Pmmm,183.41,6.53,3.89,3.96,11.9,90,90,90
16632,Ba2Ca0.05Cu3Pr0.15Y0.8O6.95,84.60 ,1989,10.1103/PhysRevLett.63.2516,16632,orthorhombic,Pmmm,691.89,6.52,7.64,7.77,11.66,90,90,90
16633,Ba2Ca0.05Cu3Pr0.2Y0.75O6.95,76.40 ,1989,10.1103/PhysRevLett.63.2516,16568,orthorhombic,Pmmm,535.43,6.36,3.84,3.93,35.47,90,90,90
16634,Ba2Ca0.05Cu3Y0.95O6.7,72.00 ,1998,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16635,Ba2Ca0.05Cu3Y0.95O6.79,88.00 ,1991,10.1016/0921-4534(91)90779-X,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16636,Ba2Ca0.05Cu3Y0.95O6.94,88.20 ,1998,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16637,Ba2Ca0.06Cu3Y0.94O6.97,83.40 ,1993,10.1103/PhysRevB.47.8385,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16638,Ba2Ca0.075Cu3Y0.925O6.68,75.10 ,1998,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16639,Ba2Ca0.075Cu3Y0.925O6.93,86.30 ,1998,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16640,Ba2Ca0.101Cu3Y0.899O6.943,83.00 ,1999,10.1103/PhysRevLett.82.4918,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16641,Ba2Ca0.132Cu3Y0.868O6.928,75.00 ,1999,10.1103/PhysRevLett.82.4918,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16642,Ba2Ca0.15Cu3Y0.85O6.58,80.60 ,1998,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16643,Ba2Ca0.15Cu3Y0.85O6.65,83.00 ,1991,10.1016/0921-4534(91)90779-X,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16644,Ba2Ca0.15Cu3Y0.85O6.9,79.00 ,1998,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16645,Ba2Ca0.1Cu3Y0.9O6.03,19.80 ,1996,10.1006/jssc.1996.0356,11789,tetragonal,P4/mmm,183.5,5.88,3.89,3.89,12.12,90,90,90
16646,Ba2Ca0.1Cu3Y0.9O6.3,28.10 ,1993,10.1016/0921-4534(93)91005-G,11789,tetragonal,P4/mmm,183.5,5.88,3.89,3.89,12.12,90,90,90
16647,Ba2Ca0.1Cu3Y0.9O6.4,41.80 ,1993,10.1016/0921-4534(93)91005-G,11789,tetragonal,P4/mmm,183.5,5.88,3.89,3.89,12.12,90,90,90
16648,Ba2Ca0.1Cu3Y0.9O6.59,68.80 ,1996,10.1016/0038-1098(96)00071-3,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16649,Ba2Ca0.1Cu3Y0.9O6.6,65.30 ,1993,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16650,Ba2Ca0.1Cu3Y0.9O6.66,80.00 ,,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16651,Ba2Ca0.1Cu3Y0.9O6.67,82.00 ,1991,10.1016/0921-4534(91)90779-X,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16652,Ba2Ca0.1Cu3Y0.9O6.7,75.00 ,1993,10.1103/PhysRevB.50.594,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16653,Ba2Ca0.1Cu3Y0.9O6.72,82.60 ,1996,10.1016/0038-1098(96)00071-3,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16654,Ba2Ca0.1Cu3Y0.9O6.8,84.10 ,1993,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16655,Ba2Ca0.1Cu3Y0.9O6.91,78.00 ,1998,10.1103/PhysRevLett.80.5192,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16656,Ba2Ca0.1Cu3Y0.9O6.93,83.30 ,,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16657,Ba2Ca0.1Cu3Y0.9O6.98,81.80 ,1996,10.1016/0038-1098(96)00071-3,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16658,Ba2Ca0.12Co0.12Cu2.88Y0.88O6.78,87.00 ,1992,10.1016/0921-4534(92)90320-C,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16659,Ba2Ca0.15Co0.15Cu2.85Y0.85O6.78,57.50 ,1999,,16623,orthorhombic,Pmmm,172.37,6.39,3.81,3.87,11.68,90,90,90
16660,Ba2Ca0.15Co0.15Cu2.85Y0.85O6.97,86.00 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16661,Ba2Ca0.15Co0.25Cu2.75Y0.85O7.01,80.60 ,1995,,16531,orthorhombic,Pmmm,174.67,6.33,3.85,3.89,11.67,90,90,90
16662,Ba2Ca0.15Co0.45Cu2.55Y0.85O7.08,30.00 ,1992,10.1016/0921-4534(92)90320-C,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16663,Ba2Ca0.15Cu2.8Y0.85Zn0.2O6.74,34.60 ,2011,10.1016/j.physc.2011.02.011,16629,monoclinic,P1m1,695.85,6.33,7.65,7.78,11.69,90,90,90
16664,Ba2Ca0.15Cu3Er0.85O6.93,79.50 ,1993,10.1016/0038-1098(93)90065-U,11930,orthorhombic,Pmmm,177.81,6.95,3.83,3.93,11.79,90,90,90
16665,Ba2Ca0.1Ce0.1Cu4Y0.8O8,63.00 ,,,17364,orthorhombic,Cmmm,405.6,5.94,3.85,3.87,27.27,90,90,90
16666,Ba2Ca0.1Co0.15Cu2.85Y0.9O6.91,84.00 ,1992,10.1016/0921-4534(92)90320-C,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16667,Ba2Ca0.1Co0.1Cu2.9Y0.9O6.76,57.50 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16668,Ba2Ca0.1Co0.1Cu2.9Y0.9O6.84,69.50 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16669,Ba2Ca0.1Co0.1Cu2.9Y0.9O6.95,88.00 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16670,Ba2Ca0.1Co0.25Cu2.75Y0.9O7.03,76.90 ,1995,,16530,triclinic,P1,706,6.08,7.76,7.76,11.73,90,90,90
16671,Ba2Ca0.1Co0.45Cu2.55Y0.9O7.02,18.00 ,1992,10.1016/0921-4534(92)90320-C,16662,orthorhombic,Pmm2,356.95,6.18,3.84,3.93,23.65,90,90,90
16672,Ba2Ca0.1Cu2.8Y0.9Zn0.2O6.74,15.80 ,2011,10.1016/j.physc.2011.02.011,16629,monoclinic,P1m1,695.85,6.33,7.65,7.78,11.69,90,90,90
16673,Ba2Ca0.1Cu2Hg1.4Tl0.6Y0.9O7.88,37.00 ,,,15851,tetragonal,P4/mmm,246.21,5.89,3.89,3.89,16.25,90,90,90
16674,Ba2Ca0.1Cu3Er0.9O6.93,82.50 ,1993,10.1016/0038-1098(93)90065-U,11930,orthorhombic,Pmmm,177.81,6.95,3.83,3.93,11.79,90,90,90
16675,Ba2Ca0.1Cu3Nd0.8Pr0.1O7.02,70.80 ,1996,10.1016/0921-4534(96)00456-X,16675,orthorhombic,Pmmm,711.99,6.73,7.74,7.83,11.75,90,90,90
16676,Ba2Ca0.1Cu3Nd0.9O6.63,84.50 ,1998,10.1023/A:1022605916820,15811,orthorhombic,Pmmm,183.41,6.53,3.89,3.96,11.9,90,90,90
16677,Ba2Ca0.1Cu3Y0.9O6.9,88.60 ,1993,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16678,Ba2Ca0.24Co0.06Cu2.94Y0.76O6.81,82.00 ,1992,10.1016/0921-4534(93)91005-G,16678,monoclinic,P1m1,713.9,6.05,7.69,7.85,11.82,90,90,90
16679,Ba2Ca0.24Co0.15Cu2.85Y0.76O6.8,86.00 ,1992,10.1016/0921-4534(93)91005-G,16678,monoclinic,P1m1,713.9,6.05,7.69,7.85,11.82,90,90,90
16680,Ba2Ca0.24Co0.24Cu2.76Y0.76O6.84,85.00 ,1992,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16681,Ba2Ca0.24Co0.36Cu2.64Y0.76O6.96,66.00 ,1992,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16682,Ba2Ca0.24Co0.45Cu2.55Y0.76O6.93,51.00 ,1992,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16683,Ba2Ca0.25Co0.25Cu2.75Y0.75O6.82,67.50 ,1995,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16684,Ba2Ca0.25Co0.25Cu2.75Y0.75O6.98,82.40 ,1995,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16685,Ba2Ca0.25Co0.25Cu2.75Y0.75O7,82.50 ,1995,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16686,Ba2Ca0.25Cu3Er0.75O6.88,67.50 ,1993,,16686,orthorhombic,Pmmm,691.86,6.83,7.63,7.76,11.69,90,90,90
16687,Ba2Ca0.2Co0.15Cu2.85Y0.8O6.84,86.00 ,1992,,16678,monoclinic,P1m1,713.9,6.05,7.69,7.85,11.82,90,90,90
16688,Ba2Ca0.2Co0.25Cu2.75Y0.8O7.01,82.20 ,1995,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16689,Ba2Ca0.2Co0.2Cu2.8Y0.8O6.78,55.50 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16690,Ba2Ca0.2Co0.2Cu2.8Y0.8O6.83,69.00 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16691,Ba2Ca0.2Co0.2Cu2.8Y0.8O6.98,82.50 ,1999,,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16692,Ba2Ca0.2Cu2Hg1.4Tl0.6Y0.8O7.83,50.00 ,1997,,15851,tetragonal,P4/mmm,246.21,5.89,3.89,3.89,16.25,90,90,90
16693,Ba2Ca0.2Cu3Er0.8O6.91,76.50 ,1993,10.1016/0038-1098(93)90065-U,16686,orthorhombic,Pmmm,691.86,6.83,7.63,7.76,11.69,90,90,90
16694,Ba2Ca0.2Cu3Pr0.2Y0.6O7,67.10 ,1992,10.1016/0921-4534(92)90603-A,16694,orthorhombic,Pmmm,1568.95,6.4,3.83,3.89,105.23,90,90,90
16695,Ba2Ca0.36Co0.36Cu2.64Y0.64O6.87,82.00 ,1992,10.1016/0921-4534(92)90320-C,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16696,Ba2Ca0.3Co0.3Cu2.7Y0.7O6.78,59.00 ,1999,Fizika tverdogo tera (Phys. Of the Solid State) 41(1999)1363,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16697,Ba2Ca0.3Co0.3Cu2.7Y0.7O6.84,70.00 ,1999,Fizika tverdogo tera (Phys. Of the Solid State) 41(1999)1363,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16698,Ba2Ca0.3Co0.3Cu2.7Y0.7O6.93,84.00 ,1992,10.1016/0921-4534(92)90320-C,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16699,Ba2Ca0.3Co0.3Cu2.7Y0.7O7.02,82.00 ,1999,Fizika tverdogo tera (Phys. Of the Solid State) 41(1999)1363,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16700,Ba2Ca0.3Co0.45Cu2.55Y0.7O6.84,53.00 ,1992,10.1016/0921-4534(92)90320-C,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
16701,Ba2Ca0.3Cu2Hg1.4Tl0.6Y0.7O7.81,74.50 ,1997,10.1016/S0921-4534(97)00538-8,15851,tetragonal,P4/mmm,246.21,5.89,3.89,3.89,16.25,90,90,90
16702,Ba2Ca0.3Cu3Er0.7O6.83,55.70 ,,,16686,orthorhombic,Pmmm,691.86,6.83,7.63,7.76,11.69,90,90,90
16703,Ba2Ca0.4Cu2Hg1.4Tl0.6Y0.6O7.78,84.60 ,1997,10.1016/S0921-4534(97)00538-8,16706,monoclinic,C1m1,433.66,7.58,3.86,3.86,29.16,90,90,90
16704,Ba2Ca0.5Cu2Hg1.4Tl0.6Y0.5O7.74,84.00 ,1997,10.1016/S0921-4534(97)00538-8,16706,monoclinic,C1m1,433.66,7.58,3.86,3.86,29.16,90,90,90
16705,Ba2Ca0.5Cu2Nd0.5Tl1O6.86,40.00 ,1991,10.1016/0921-4534(91)90154-Q,16725,tetragonal,P4/mmm,697.37,6.31,3.84,3.84,47.2,90,90,90
16706,Ba2Ca0.6Cu2Hg1.4Tl0.6Y0.4O7.71,68.60 ,1997,,16706,monoclinic,C1m1,433.66,7.58,3.86,3.86,29.16,90,90,90
16707,Ba2Ca0.8Cu2Nd0.2Tl1O6.86,100.00 ,1991,10.1016/0921-4534(91)90154-Q,16707,orthorhombic,Pmm2,752.71,6.92,7.71,7.71,12.65,90,90,90
