id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
10113,Al0.35Ga0.65Nb3,18.10 ,1968,10.1007/BF01380012,10127,cubic,Pm-3,140.63,7.72,5.2,5.2,5.2,90,90,90
10114,Al0.39Ge0.61Nb3,7.30 ,,,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10115,Al0.39Nb3Sn0.61,14.10 ,,,10130,cubic,Pm-3,146.51,7.97,5.27,5.27,5.27,90,90,90
10116,Al0.3Ba2Cu2La2Ti1.7O10.86,NaN,,10.1016/0921-4534(96)00137-2,15808,cubic,F-43m,125.51,6.4,5.62,5.62,5.62,60,60,60
10117,Al0.3Cr0.7,NaN,,10.1016/0022-3697(64)90037-X,10117,tetragonal,I4/mmm,37.05,5.87,2.93,2.93,4.78,107.83,107.83,90
10118,Al0.3Ga0.7V3,13.90 ,1969,10.1007/BF01392578,10128,cubic,Pm-3,108.89,6.14,4.78,4.78,4.78,90,90,90
10119,Al0.3Ga2.7Pd2U1,NaN,,10.1103/PhysRevB.56.846,13946,hexagonal,P6/mmm,106.2,10.32,5.34,5.34,4.31,90,90,120
10120,Al0.3Ge0.7Nb3,9.10 ,1983,10.1002/pssa.2210770244,14071,tetragonal,P4_2/n,565.46,8.25,10.35,10.35,5.28,90,90,90
10121,Al0.3In0.7La3,9.42 ,1973,10.1103/PhysRevB.8.3194,14335,cubic,Pm-3m,132.05,6.68,5.09,5.09,5.09,90,90,90
10122,Al0.3Nb3Sn0.7,15.80 ,1968,10.1007/BF01380012,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10123,Al0.402V0.598,NaN,,10.1016/0022-3697(64)90037-X,10123,orthorhombic,Fmmm,41.49,5.16,6.65,6.52,2.61,81.5,75.69,22.81
10124,Al0.4Nb3Sn0.6,15.70 ,1968,10.1007/BF01380012,10130,cubic,Pm-3,146.51,7.97,5.27,5.27,5.27,90,90,90
10125,Al0.55Ge0.45Nb3,11.70 ,,,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10126,Al1B4Mg1,12.90 ,2002,10.1103/PhysRevB.65.132505,10126,hexagonal,P6/mmm,53.35,2.94,3.03,3.03,6.72,90,90,120
10127,Al1Ga1Nb6,19.00 ,1972,10.1016/0375-9601(72)90141-7,10127,cubic,Pm-3,140.63,7.72,5.2,5.2,5.2,90,90,90
10128,Al1Ga1V6,12.90 ,1969,10.1007/BF01392578,10128,cubic,Pm-3,108.89,6.14,4.78,4.78,4.78,90,90,90
10129,Al0.5Ge0.5Th2,0.21 ,1972,10.1016/0022-5088(72)90060-4,10129,tetragonal,I422,168.78,10.11,6.1,6.1,6.1,103.82,103.82,121.48
